Sentence_ID,Sentence,Word_ID,Word,Surprisal value
1,"批评学生的教官之后,那位督导打算取消这次活动",1,批评,15.891557693481445
1,"批评学生的教官之后,那位督导打算取消这次活动",2,学生,15.891558647155762
1,"批评学生的教官之后,那位督导打算取消这次活动",3,的,15.891554832458496
1,"批评学生的教官之后,那位督导打算取消这次活动",4,教官,15.89157485961914
1,"批评学生的教官之后,那位督导打算取消这次活动",5,之后,15.891562461853027
1,"批评学生的教官之后,那位督导打算取消这次活动",6,",",15.891551971435547
1,"批评学生的教官之后,那位督导打算取消这次活动",7,那位,15.891555786132812
1,"批评学生的教官之后,那位督导打算取消这次活动",8,督导,15.891571998596191
1,"批评学生的教官之后,那位督导打算取消这次活动",9,打算,15.891568183898926
1,"批评学生的教官之后,那位督导打算取消这次活动",10,取消,15.89156436920166
1,"批评学生的教官之后,那位督导打算取消这次活动",11,这次,15.891560554504395
1,"批评学生的教官之后,那位督导打算取消这次活动",12,活动,15.891576766967773
2,"举报主管的秘书之前,那个员工反复确认了录音证据",1,举报,15.891557693481445
2,"举报主管的秘书之前,那个员工反复确认了录音证据",2,主管,15.891558647155762
2,"举报主管的秘书之前,那个员工反复确认了录音证据",3,的,15.891554832458496
2,"举报主管的秘书之前,那个员工反复确认了录音证据",4,秘书,15.89157485961914
2,"举报主管的秘书之前,那个员工反复确认了录音证据",5,之前,15.891562461853027
2,"举报主管的秘书之前,那个员工反复确认了录音证据",6,",",15.891551971435547
2,"举报主管的秘书之前,那个员工反复确认了录音证据",7,那个,15.891555786132812
2,"举报主管的秘书之前,那个员工反复确认了录音证据",8,员工,15.891571998596191
2,"举报主管的秘书之前,那个员工反复确认了录音证据",9,反复,15.891568183898926
2,"举报主管的秘书之前,那个员工反复确认了录音证据",10,确认了,15.89156436920166
2,"举报主管的秘书之前,那个员工反复确认了录音证据",11,录音,15.891560554504395
2,"举报主管的秘书之前,那个员工反复确认了录音证据",12,证据,15.891576766967773
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",1,陪伴,15.891557693481445
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",2,考生,15.891558647155762
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",3,的,15.891554832458496
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",4,家长,15.89157485961914
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",5,之外,15.891562461853027
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",6,",",15.891551971435547
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",7,那位,15.891555786132812
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",8,主任,15.891571998596191
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",9,还会,15.891568183898926
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",10,监督,15.89156436920166
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",11,考场,15.891560554504395
3,"陪伴考生的家长之外,那位主任还会监督考场秩序",12,秩序,15.891576766967773
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",1,出卖,15.891557693481445
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",2,雇主,15.891558647155762
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",3,的,15.891554832458496
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",4,副手,15.89157485961914
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",5,之后,15.891562461853027
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",6,",",15.891551971435547
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",7,那位,15.891555786132812
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",8,助理,15.891571998596191
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",9,立即,15.891568183898926
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",10,公开了,15.89156436920166
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",11,所有,15.891560554504395
4,"出卖雇主的副手之后,那位助理立即公开了所有资料",12,资料,15.891576766967773
5,"虐待孩子的保姆之后,那对夫妻最终受到了法律制裁",1,虐待,15.891557693481445
